FID,Id,Island,Longitude,Latitude
0,0,AGR,145.667483016000006,18.770978897300001
1,0,AGU,145.558984299000002,14.851780119500001
2,0,ALA,145.832867931000010,17.599823599800001
3,0,ASC,145.403822496000004,19.691616421799999
4,0,BAK,-176.473108346000004,0.195811830041000
5,0,FDP,144.893788752000006,20.544343291800001
6,0,FFS,-166.175870892000006,23.758359686100000
7,0,GUA,144.797452980999992,13.466393712200000
8,0,GUG,145.841209308999993,17.309763088200000
9,0,HAW,-155.489255318999994,19.622448736500001
10,0,HOW,-176.616390682999992,0.809633310678000
11,0,JAR,-159.992310897000010,-0.372755021351000
12,0,KAU,-159.535822104999994,22.059556730899999
13,0,KIN,-162.403563415999997,6.410193878510000
14,0,KUR,-178.326633592999997,28.419049322999999
15,0,LAN,-156.909312206999999,20.835743066300001
16,0,LAY,-171.733014848000010,25.772032393000000
17,0,LIS,-173.943404686999997,26.014349205300000
18,0,MAI,-156.371979224000000,20.813018183899999
19,0,MID,-177.371136537000012,28.236110585999999
20,0,MOL,-157.026323627000011,21.144829602300000
21,0,NII,-160.150824529999994,21.907175164000002
22,0,OAH,-157.981788370999993,21.469995640699999
23,0,OFU,-169.641758474999989,-14.169311409700001
24,0,PAG,145.761649570999992,18.102970446299999
25,0,PAL,-162.085734752000008,5.882095339000000
26,0,PHR,-175.842419629999995,27.860583798800000
27,0,ROS,-168.155187492000010,-14.544589412300001
28,0,ROT,145.218329070000010,14.162193983200000
29,0,SAI,145.746085660999995,15.207298565200000
30,0,SAR,145.778969993999993,16.704954929100001
31,0,SWA,-171.077695210000002,-11.055565355700001
32,0,TAU,-169.467825944999987,-14.233967678999999
33,0,TIN,145.628037384999999,15.023154937899999
34,0,TUT,-170.702608491000007,-14.292068457699999
35,0,WAK,166.627149072999998,19.300116991599999
36,0,MAU,145.222074426000006,20.022590248200000
